source_type,s1_edge_preservation,preserved_subroutes,max_cluster_size,nn_pairs_preserved,backbone_preserved,s2_dist,elite_reconstruction
Random,0.5000,6,7,0.3182,0.5143,829.6254,0
Random,0.5000,6,6,0.4545,0.5143,828.7001,0
Random,0.5000,7,8,0.2727,0.4857,803.3936,1
Random,0.5000,3,7,0.2273,0.4857,810.5735,0
Random,0.5278,4,8,0.2727,0.5143,852.6096,0
Random,0.5833,9,8,0.3182,0.6000,828.8892,0
Random,0.5000,5,8,0.2727,0.4857,840.9450,0
Random,0.5278,5,7,0.3182,0.5143,839.0530,0
Random,0.5833,8,8,0.2273,0.5714,873.6948,0
Random,0.5833,9,7,0.4091,0.5714,885.3161,0
Random,0.6667,9,7,0.4091,0.6857,860.6582,0
Random,0.5278,9,9,0.2727,0.5143,921.6118,0
Random,0.6111,9,8,0.3636,0.6286,953.5779,0
Random,0.6389,12,9,0.4091,0.6571,810.5735,0
Random,0.5000,8,7,0.5000,0.4857,835.7890,0
Random,0.5000,8,6,0.4091,0.5143,842.2993,0
Random,0.5278,5,8,0.3636,0.5143,894.9272,0
Random,0.5833,6,8,0.4091,0.6000,871.3935,0
Random,0.5833,7,7,0.4545,0.5714,797.4513,1
Random,0.5556,6,6,0.3636,0.5429,828.7001,0
Random,0.5000,5,7,0.2727,0.5143,819.5007,0
Random,0.5000,3,7,0.2273,0.4857,810.5735,0
Random,0.6389,7,7,0.3636,0.6571,882.4463,0
Random,0.5278,8,7,0.3182,0.5429,861.4064,0
Random,0.5000,6,8,0.2273,0.4857,1024.7303,0
Random,0.5000,5,6,0.3182,0.5143,901.7797,0
Random,0.6111,8,8,0.3182,0.6286,803.3111,1
Random,0.5833,7,8,0.3636,0.5714,942.8175,0
Random,0.5000,6,7,0.3182,0.4857,828.7001,0
Random,0.5278,8,5,0.2727,0.5429,812.7828,0
Random,0.5000,7,7,0.2727,0.5143,852.4591,0
Random,0.5556,8,7,0.3636,0.5429,839.8042,0
Random,0.5556,8,6,0.5455,0.5714,829.1403,0
Random,0.5833,10,8,0.5000,0.5714,895.7482,0
Random,0.5556,7,8,0.3182,0.5714,849.0182,0
Random,0.5000,1,8,0.3636,0.5143,823.7503,0
Random,0.6944,9,8,0.4091,0.7143,797.4513,1
Random,0.5278,8,9,0.2727,0.5143,836.8092,0
Random,0.5556,7,9,0.4545,0.5429,849.9330,0
Random,0.5278,7,7,0.3636,0.5143,825.3403,0
Random,0.6111,9,8,0.3182,0.6000,841.6429,0
Random,0.5556,7,7,0.4091,0.5714,890.6020,0
Random,0.5000,6,6,0.3182,0.5143,853.5571,0
Random,0.5556,4,6,0.2727,0.5714,843.4393,0
Random,0.5000,7,8,0.2727,0.4857,940.4756,0
Random,0.5833,9,6,0.3636,0.5714,887.0145,0
Random,0.5278,5,6,0.3636,0.5143,829.1280,0
Random,0.5278,5,6,0.3636,0.5429,797.4513,1
Random,0.5278,4,7,0.2727,0.5143,829.1280,0
Random,0.5833,8,8,0.3636,0.5714,807.8428,1
Random,0.5278,7,7,0.2273,0.5143,797.8718,1
Random,0.6111,5,7,0.2273,0.6286,861.2617,0
Random,0.5833,8,7,0.3636,0.5714,797.8718,1
Random,0.5556,9,6,0.4091,0.5714,900.9917,0
Random,0.5556,6,7,0.2727,0.5429,801.8739,1
Random,0.6111,9,8,0.2727,0.6000,869.5632,0
Random,0.5556,4,7,0.2273,0.5429,841.8075,0
Random,0.5278,4,7,0.1818,0.5143,830.7646,0
Random,0.5000,4,7,0.2727,0.4857,849.4291,0
Random,0.5556,8,7,0.4545,0.5714,880.1670,0
Random,0.5278,7,5,0.3182,0.5143,844.1620,0
Random,0.5278,6,7,0.2727,0.5143,857.0686,0
Random,0.5278,6,6,0.2727,0.5143,834.8908,0
Random,0.5833,7,6,0.4091,0.6000,820.9992,0
Random,0.5556,8,8,0.3636,0.5714,821.8779,0
Random,0.5278,8,7,0.3636,0.5143,928.7274,0
Random,0.7222,12,8,0.4091,0.7143,826.6235,0
Random,0.5833,8,8,0.3182,0.5714,797.4513,1
Random,0.7500,13,9,0.3636,0.7429,797.4513,1
Random,0.5000,4,8,0.4091,0.5143,833.1168,0
Random,0.5833,7,8,0.3636,0.5714,797.4513,1
Random,0.6111,8,7,0.3182,0.6000,955.3085,0
Random,0.5000,6,8,0.2727,0.4857,848.7573,0
Random,0.5556,7,8,0.3636,0.5714,841.4203,0
Random,0.5000,5,7,0.2727,0.4857,876.9231,0
Random,0.6389,10,7,0.3636,0.6571,823.6550,0
Random,0.5000,5,5,0.3636,0.5143,797.8718,1
Random,0.5556,5,7,0.4091,0.5714,854.9832,0
Random,0.5278,4,7,0.3182,0.5143,857.0980,0
Random,0.5833,6,7,0.2273,0.6000,797.8718,1
Random,0.5000,6,8,0.3636,0.5143,845.9073,0
Random,0.5556,4,7,0.4091,0.5714,1002.2788,0
Random,0.5556,5,8,0.3636,0.5714,805.8710,1
Random,0.5000,5,6,0.3636,0.4857,810.5735,0
Random,0.5000,6,7,0.2727,0.5143,826.9890,0
Random,0.6111,8,6,0.3636,0.6286,803.3111,1
Random,0.5000,6,6,0.2273,0.4857,798.9434,1
Random,0.5556,7,6,0.2727,0.5429,868.4037,0
Random,0.5833,7,8,0.2727,0.6000,850.6631,0
Random,0.5278,8,8,0.2273,0.5143,850.5408,0
Random,0.5000,4,6,0.2727,0.4857,854.4855,0
Random,0.5833,8,7,0.3182,0.5714,860.1159,0
Random,0.5278,6,7,0.3636,0.5143,842.6183,0
Random,0.5556,12,6,0.3636,0.5429,797.4513,1
Random,0.5278,5,6,0.2273,0.5143,822.9282,0
Random,0.5000,7,7,0.3182,0.5143,801.8739,1
Random,0.6389,7,8,0.2727,0.6286,899.9633,0
Random,0.6111,10,7,0.2273,0.6286,896.0690,0
Random,0.6944,11,9,0.4545,0.6857,810.5735,0
Random,0.5000,3,8,0.2273,0.4857,850.6631,0
Random,0.5833,8,7,0.3636,0.5714,857.3438,0
Random,0.5000,3,6,0.3636,0.4857,923.0770,0
Random,0.5833,9,7,0.3636,0.6000,890.6812,0
Random,0.5833,10,9,0.2727,0.5714,822.5776,0
Random,0.5278,7,8,0.2727,0.5143,920.0549,0
Random,0.5000,4,8,0.2727,0.5143,854.8801,0
Random,0.5000,6,7,0.3182,0.5143,898.5563,0
Random,0.5000,9,7,0.4091,0.4857,840.4955,0
Random,0.5556,7,7,0.3182,0.5429,909.8123,0
Random,0.5278,6,7,0.3636,0.5143,852.5331,0
Random,0.5278,7,6,0.3636,0.5143,812.7828,0
Random,0.5556,7,8,0.2727,0.5429,903.6765,0
Random,0.5000,7,7,0.3182,0.5143,973.2521,0
Random,0.5556,7,6,0.3636,0.5714,841.5297,0
Random,0.5278,4,8,0.1818,0.5143,869.5875,0
Random,0.5000,7,9,0.2273,0.4857,921.7245,0
Random,0.5000,4,6,0.2273,0.4857,844.4898,0
Random,0.6389,8,6,0.2727,0.6571,820.1789,0
Random,0.5278,8,5,0.3636,0.5429,817.9923,0
Random,0.5000,6,7,0.1818,0.5143,812.7828,0
Random,0.5000,8,7,0.3636,0.5143,859.9902,0
Random,0.5000,7,8,0.3182,0.4857,827.3525,0
Random,0.5000,3,7,0.1818,0.5143,822.7804,0
Random,0.5556,7,6,0.4091,0.5429,797.4513,1
Random,0.6111,8,7,0.4091,0.6286,872.5880,0
Random,0.6111,10,8,0.4545,0.6286,843.6407,0
Random,0.5833,6,7,0.3182,0.5714,864.5305,0
Random,0.5000,6,8,0.2727,0.5143,821.7963,0
Random,0.5000,6,8,0.2273,0.4857,914.0797,0
Random,0.5000,7,8,0.3182,0.5143,844.1620,0
Random,0.5556,6,8,0.2273,0.5429,797.8718,1
Random,0.5278,9,6,0.3182,0.5429,848.3132,0
Random,0.6111,9,7,0.3636,0.6286,816.2453,0
Random,0.5833,9,8,0.5000,0.6000,852.8743,0
Random,0.5278,7,7,0.3182,0.5143,953.5142,0
Random,0.6111,6,5,0.2727,0.6000,801.8739,1
Random,0.5556,5,6,0.3636,0.5429,886.9729,0
Random,0.5833,7,8,0.3182,0.5714,812.0974,0
Random,0.5000,6,7,0.2727,0.4857,836.8092,0
Random,0.6111,7,7,0.2727,0.6000,861.2261,0
Random,0.5000,8,8,0.3182,0.5143,886.1313,0
Random,0.5000,4,8,0.2727,0.4857,810.5735,0
Random,0.5556,8,7,0.3636,0.5714,797.4513,1
Random,0.6111,7,8,0.4545,0.6000,878.5932,0
Random,0.5278,8,8,0.2273,0.5143,837.2387,0
Random,0.5000,4,7,0.2727,0.5143,972.2933,0
Random,0.5278,5,6,0.2273,0.5429,838.7305,0
Random,0.5833,7,6,0.3636,0.5714,807.8428,1
Random,0.5833,9,7,0.4545,0.6000,800.0627,1
Random,0.5556,7,7,0.4091,0.5714,835.0131,0
Random,0.5000,8,7,0.3182,0.5143,803.3111,1
Random,0.5278,6,8,0.3636,0.5429,856.2045,0
Random,0.5833,6,8,0.3182,0.6000,821.7963,0
Random,0.5278,8,7,0.2273,0.5429,839.3605,0
Random,0.5000,5,6,0.3182,0.5143,810.5735,0
Random,0.5000,5,7,0.2273,0.4857,810.5735,0
Random,0.5556,7,8,0.2727,0.5429,911.9732,0
Random,0.5556,10,8,0.3182,0.5429,822.5776,0
Random,0.5000,3,8,0.1818,0.4857,818.2542,0
Random,0.5833,4,9,0.3182,0.5714,872.8408,0
Random,0.5000,7,7,0.4091,0.5143,881.0105,0
Random,0.5000,7,7,0.4091,0.4857,888.3179,0
Random,0.6111,7,8,0.2727,0.6000,819.5792,0
Random,0.6389,8,7,0.3636,0.6286,835.9783,0
Random,0.5000,6,7,0.3182,0.4857,920.3332,0
Random,0.5000,6,8,0.2273,0.5143,817.9923,0
Random,0.6389,10,8,0.3182,0.6286,832.2777,0
Random,0.5556,6,8,0.1818,0.5714,836.4349,0
Random,0.5000,4,8,0.2273,0.4857,859.5968,0
Random,0.5833,9,7,0.4091,0.6000,797.4513,1
Random,0.6111,11,8,0.2727,0.6000,797.4513,1
Random,0.5278,7,6,0.3182,0.5143,828.7001,0
Random,0.5556,6,6,0.3182,0.5714,837.2803,0
Random,0.5278,6,7,0.2727,0.5143,797.4513,1
Random,0.6111,7,9,0.3636,0.6286,833.1168,0
Random,0.5000,8,6,0.3636,0.5143,812.2031,0
Random,0.7500,13,9,0.4091,0.7714,797.8718,1
Random,0.6667,9,7,0.3182,0.6571,798.9434,1
Random,0.5000,6,7,0.3636,0.4857,851.2653,0
Random,0.5278,7,8,0.2727,0.5429,873.5684,0
Random,0.5833,6,8,0.2727,0.5714,863.6449,0
Random,0.5278,5,6,0.2727,0.5143,801.8739,1
Random,0.5000,6,8,0.2273,0.5143,829.4114,0
Random,0.5278,6,8,0.1818,0.5143,886.2539,0
Random,0.6111,9,7,0.4091,0.6000,866.2395,0
Random,0.5000,5,6,0.2727,0.4857,829.2498,0
Random,0.5556,4,8,0.4091,0.5714,837.2387,0
Random,0.5556,8,7,0.3182,0.5429,846.8109,0
Random,0.5833,9,9,0.4091,0.6000,797.8718,1
Random,0.6111,9,9,0.3182,0.6286,899.7441,0
Random,0.6389,11,8,0.4091,0.6286,816.4972,0
Random,0.5556,7,8,0.3182,0.5714,888.5667,0
Random,0.6389,11,8,0.3636,0.6286,819.2922,0
Random,0.5556,7,7,0.2273,0.5429,868.8477,0
Random,0.5833,9,7,0.3636,0.5714,877.9624,0
Random,0.5556,5,6,0.3182,0.5429,836.3495,0
Random,0.6389,11,6,0.5000,0.6286,820.2431,0
Random,0.5000,9,7,0.4091,0.5143,812.2031,0
Random,0.5000,6,7,0.3182,0.4857,849.3590,0
Random,0.5000,6,6,0.3182,0.4857,816.2453,0
Random,0.5556,5,6,0.2727,0.5714,817.7100,0
Random,0.5833,8,8,0.3182,0.5714,816.4972,0
Random,0.5000,4,7,0.4091,0.5143,890.0187,0
Random,0.5000,4,6,0.2273,0.4857,905.1702,0
Random,0.5000,5,7,0.2727,0.4857,848.9825,0
Random,0.5556,8,8,0.3182,0.5429,894.7195,0
Random,0.5000,5,6,0.3182,0.4857,886.4289,0
Random,0.5556,7,7,0.1818,0.5429,861.7822,0
Random,0.6111,11,8,0.3182,0.6000,868.0526,0
Random,0.5000,9,7,0.3636,0.5143,875.6172,0
Random,0.5833,6,8,0.3182,0.5714,804.0648,1
Random,0.5000,7,8,0.4091,0.5143,819.6861,0
Random,0.5278,7,7,0.3182,0.5143,797.8718,1
Random,0.5278,6,7,0.3636,0.5143,800.0627,1
Random,0.7222,10,7,0.4545,0.7143,801.8739,1
Random,0.5000,6,8,0.2727,0.5143,810.5735,0
Random,0.5000,4,6,0.1364,0.4857,810.5735,0
Random,0.7500,11,7,0.5000,0.7429,821.7963,0
Random,0.5833,10,8,0.2727,0.5714,889.5718,0
Random,0.5556,8,9,0.2727,0.5714,805.8710,1
Random,0.5833,7,7,0.3636,0.6000,820.7217,0
Random,0.6111,8,8,0.3182,0.6000,797.8718,1
Random,0.5556,8,7,0.3636,0.5714,840.7333,0
Random,0.5000,4,6,0.3182,0.4857,889.6897,0
Random,0.5000,4,7,0.2727,0.4857,875.8693,0
Random,0.6111,8,8,0.2727,0.6000,859.4299,0
Random,0.6111,6,6,0.3182,0.6000,863.6449,0
Random,0.6667,9,7,0.3182,0.6571,797.4513,1
Random,0.5278,7,9,0.1818,0.5143,848.3132,0
Random,0.5556,7,8,0.2273,0.5429,888.2120,0
Random,0.5278,6,6,0.3182,0.5143,894.0167,0
Random,0.5000,3,8,0.2273,0.5143,820.4296,0
Random,0.5833,11,7,0.4545,0.6000,903.5092,0
Random,0.5278,8,8,0.2727,0.5143,829.1403,0
Random,0.5000,8,7,0.4091,0.4857,844.9234,0
Random,0.5278,7,8,0.3182,0.5143,901.1317,0
Random,0.5556,9,8,0.3636,0.5714,842.3421,0
Random,0.5278,11,8,0.3636,0.5143,846.1625,0
Random,0.5833,7,8,0.4545,0.6000,797.4513,1
Random,0.6389,11,8,0.4091,0.6286,873.8563,0
Random,0.5556,7,8,0.2727,0.5714,844.3172,0
Random,0.6111,9,8,0.3636,0.6000,807.8428,1
Random,0.5000,2,6,0.1818,0.4857,925.5504,0
Random,0.5833,5,8,0.2727,0.5714,860.8242,0
Random,0.5278,8,7,0.2727,0.5143,836.4349,0
Random,0.5833,9,8,0.5000,0.5714,877.1413,0
Random,0.5000,3,7,0.2273,0.4857,855.1927,0
Random,0.5278,4,7,0.2273,0.5143,801.8739,1
Random,0.6667,6,9,0.3636,0.6571,797.4513,1
Random,0.5278,6,8,0.4545,0.5143,861.9815,0
Random,0.6667,9,8,0.4545,0.6571,842.4737,0
Random,0.5833,10,7,0.4091,0.6000,867.9254,0
Random,0.5278,7,8,0.2727,0.5143,952.0374,0
Random,0.5000,7,8,0.1818,0.4857,817.5911,0
Random,0.6389,12,9,0.4091,0.6286,873.3243,0
Random,0.5278,5,8,0.3636,0.5429,822.9282,0
Random,0.5000,4,6,0.2727,0.5143,828.7001,0
Random,0.5278,7,6,0.2273,0.5143,810.5735,0
Random,0.5000,6,9,0.2727,0.4857,851.2653,0
Random,0.5278,5,6,0.4091,0.5429,846.1146,0
Random,0.5833,9,8,0.4091,0.5714,821.7963,0
Random,0.6667,11,9,0.2727,0.6571,797.8718,1
Random,0.5000,7,6,0.4091,0.4857,803.3111,1
Random,0.6667,9,8,0.4545,0.6571,879.1965,0
Random,0.5278,7,8,0.3182,0.5143,857.4260,0
Random,0.6111,7,7,0.4545,0.6000,867.1124,0
Random,0.5833,7,7,0.3636,0.5714,904.4146,0
Random,0.5000,6,4,0.4545,0.5143,935.4543,0
Random,0.5000,8,7,0.3636,0.4857,840.8901,0
Random,0.5556,6,7,0.4091,0.5714,820.7058,0
Random,0.5000,8,8,0.3182,0.5143,894.5999,0
Random,0.5556,4,8,0.3636,0.5714,797.8718,1
Random,0.5000,9,8,0.4091,0.5143,857.4549,0
Random,0.5556,6,9,0.2727,0.5714,801.8739,1
Random,0.5278,7,7,0.2727,0.5143,855.5286,0
Random,0.5556,9,7,0.3182,0.5429,797.4513,1
Random,0.5833,7,7,0.2727,0.6000,819.5792,0
Random,0.5000,3,7,0.0909,0.4857,878.5289,0
Random,0.5556,5,6,0.3182,0.5429,918.8515,0
Random,0.5000,7,6,0.3636,0.5143,832.6336,0
Random,0.5000,7,7,0.3182,0.4857,833.3071,0
Random,0.6389,7,9,0.3636,0.6286,904.8010,0
Random,0.5000,6,7,0.2727,0.4857,810.5735,0
Random,0.5556,6,6,0.2273,0.5429,913.8565,0
Random,0.5000,4,8,0.4091,0.4857,835.4384,0
Random,0.6389,10,7,0.4091,0.6286,820.4407,0
Random,0.5000,6,8,0.2273,0.4857,895.9977,0
Random,0.5556,7,7,0.3636,0.5429,883.1785,0
Random,0.5833,7,8,0.2273,0.5714,884.0070,0
Random,0.6111,12,8,0.4091,0.6000,854.3517,0
Random,0.5000,6,6,0.2273,0.5143,852.4591,0
Random,0.5278,8,6,0.3182,0.5143,855.8240,0
Random,0.5278,7,8,0.3182,0.5429,797.4513,1
Random,0.5000,6,7,0.2273,0.4857,857.4290,0
Random,0.5278,7,7,0.2273,0.5429,839.7646,0
Random,0.6111,11,7,0.4545,0.6000,822.9360,0
Random,0.5556,7,8,0.2727,0.5429,830.9457,0
Random,0.5000,6,7,0.3182,0.5143,821.8258,0
Random,0.6944,14,9,0.4545,0.6857,802.6007,1
Random,0.5833,5,7,0.3182,0.6000,817.8002,0
Random,0.6389,11,8,0.4545,0.6286,828.7001,0
Random,0.5833,8,8,0.4091,0.6000,828.7001,0
Random,0.5278,10,7,0.3182,0.5143,858.9324,0
Random,0.5556,7,9,0.3182,0.5429,811.3003,0
Random,0.5278,8,7,0.3182,0.5143,830.9457,0
Random,0.5000,3,7,0.3182,0.4857,877.1413,0
Random,0.5278,5,7,0.2727,0.5429,836.0153,0
Random,0.5000,5,7,0.3182,0.5143,811.7958,0
Random,0.5278,8,7,0.4091,0.5143,893.4596,0
Random,0.5833,6,8,0.4545,0.6000,867.5975,0
Random,0.5000,5,7,0.2727,0.5143,854.0818,0
Random,0.5556,6,8,0.4091,0.5429,860.0162,0
Random,0.5000,8,9,0.2727,0.4857,855.7353,0
Random,0.6111,9,6,0.4545,0.6286,854.7562,0
Random,0.5000,6,5,0.2273,0.5143,865.2601,0
Random,0.6944,12,9,0.4091,0.6857,894.9998,0
Random,0.6111,8,8,0.3182,0.6000,797.4513,1
Random,0.5278,4,8,0.3182,0.5143,839.9729,0
Random,0.5833,8,7,0.3636,0.5714,821.7963,0
Random,0.5556,6,8,0.3636,0.5714,856.8376,0
Random,0.5556,8,7,0.2273,0.5714,840.5965,0
Random,0.5278,5,7,0.2727,0.5143,890.3328,0
Random,0.5556,10,7,0.2727,0.5714,837.2387,0
Random,0.5556,6,8,0.3636,0.5429,821.0302,0
Random,0.5833,10,7,0.3182,0.5714,860.2907,0
Random,0.5833,9,7,0.3182,0.6000,937.0315,0
Random,0.5000,3,6,0.3636,0.5143,879.2553,0
Random,0.5000,4,7,0.2727,0.4857,797.8718,1
Random,0.5278,3,6,0.3636,0.5143,801.8739,1
Random,0.5556,7,6,0.3182,0.5429,832.3485,0
Random,0.5278,1,9,0.3636,0.5143,899.7033,0
Random,0.5556,6,8,0.2273,0.5429,881.2802,0
Random,0.5000,4,6,0.2273,0.4857,803.3111,1
Random,0.5556,7,8,0.2727,0.5429,859.9084,0
Random,0.5278,7,8,0.2727,0.5429,821.4111,0
Random,0.5556,6,6,0.3636,0.5714,839.8496,0
Random,0.5000,7,7,0.3636,0.5143,904.9453,0
Random,0.5278,7,8,0.2273,0.5429,854.7596,0
Random,0.6111,9,9,0.2273,0.6000,837.3408,0
Random,0.5833,6,7,0.3182,0.5714,884.1808,0
Random,0.5278,9,8,0.4091,0.5429,810.5735,0
Random,0.6667,10,7,0.4091,0.6857,854.6147,0
Random,0.5000,7,8,0.3636,0.5143,807.8428,1
Random,0.5278,6,7,0.3182,0.5143,869.4664,0
Random,0.5000,4,7,0.1818,0.5143,828.8785,0
Random,0.5278,7,8,0.1818,0.5429,857.4290,0
Random,0.5000,4,7,0.3182,0.5143,797.8718,1
Random,0.5278,8,9,0.2727,0.5429,827.3525,0
Random,0.5833,6,7,0.3182,0.5714,819.5792,0
Random,0.5000,8,8,0.3182,0.5143,797.8718,1
Random,0.5000,9,8,0.2727,0.4857,842.7266,0
Random,0.5833,9,7,0.3182,0.5714,871.1832,0
Random,0.5556,8,8,0.4091,0.5714,797.8718,1
Random,0.6111,8,6,0.3182,0.6000,821.1781,0
Random,0.5000,4,6,0.2727,0.4857,827.7977,0
Random,0.5278,7,8,0.2273,0.5143,910.8588,0
Random,0.7222,13,7,0.5909,0.7429,797.4513,1
Random,0.6111,7,8,0.2727,0.6286,821.1781,0
Random,0.5278,7,8,0.2727,0.5429,943.7981,0
Random,0.5000,7,6,0.2727,0.4857,797.4513,1
Random,0.5000,8,6,0.4545,0.5143,837.6726,0
Random,0.5278,4,7,0.2273,0.5143,851.8484,0
Random,0.5278,6,7,0.3182,0.5143,836.3186,0
Random,0.5833,7,6,0.4091,0.5714,905.3700,0
Random,0.5278,6,8,0.2727,0.5143,833.6812,0
Random,0.5278,7,8,0.3182,0.5143,816.4972,0
Random,0.5000,6,5,0.2273,0.4857,797.8718,1
Random,0.6389,10,7,0.4545,0.6571,801.8739,1
Random,0.5556,8,7,0.3182,0.5429,874.7177,0
Random,0.6111,7,7,0.2727,0.6286,797.4513,1
Random,0.5278,4,6,0.3182,0.5429,923.3392,0
Random,0.5000,6,7,0.2727,0.5143,827.3525,0
Random,0.7778,15,8,0.4545,0.7714,817.8002,0
Random,0.5000,7,7,0.4091,0.5143,810.5735,0
Random,0.5000,5,8,0.2273,0.4857,840.7333,0
Random,0.5000,5,6,0.3182,0.4857,797.4513,1
Random,0.6111,7,8,0.4545,0.6286,797.4513,1
Random,0.6111,9,7,0.4545,0.6000,828.7117,0
Random,0.5556,9,8,0.4091,0.5429,803.3111,1
Random,0.6111,12,7,0.4091,0.6286,913.3068,0
Random,0.5833,8,8,0.2273,0.5714,829.3740,0
Random,0.5278,7,7,0.3636,0.5143,803.2738,1
Random,0.5278,8,6,0.2727,0.5143,930.2380,0
Random,0.5000,3,7,0.2273,0.4857,817.8002,0
Random,0.5556,4,7,0.2727,0.5429,860.0162,0
Random,0.5000,7,6,0.2727,0.4857,847.1886,0
Random,0.5278,8,6,0.4545,0.5429,812.2031,0
Random,0.5000,6,6,0.2273,0.4857,825.9149,0
Random,0.6389,8,7,0.2727,0.6286,797.8718,1
Random,0.5556,8,7,0.3182,0.5429,853.5653,0
Random,0.5278,9,6,0.4545,0.5429,801.8739,1
Random,0.5278,8,6,0.2273,0.5143,821.8779,0
Random,0.7500,10,7,0.5000,0.7429,797.4513,1
Random,0.5000,3,7,0.2273,0.4857,900.1291,0
Random,0.5278,4,7,0.3182,0.5143,864.2332,0
Random,0.5000,8,7,0.3182,0.5143,820.4407,0
Random,0.5833,6,8,0.2727,0.5714,810.5735,0
Random,0.5278,5,7,0.2273,0.5429,868.0297,0
Random,0.5000,6,6,0.3182,0.5143,868.8428,0
Random,0.6111,9,8,0.3636,0.6000,819.6692,0
Random,0.6111,7,7,0.3182,0.6000,837.0825,0
Random,0.5000,4,8,0.2273,0.5143,868.5534,0
Random,0.5278,7,7,0.5000,0.5429,855.7353,0
Random,0.5000,7,7,0.2727,0.4857,868.0103,0
Random,0.7500,14,8,0.4091,0.7429,797.4513,1
Random,0.5833,10,6,0.3182,0.5714,797.4513,1
Random,0.5833,4,7,0.3636,0.6000,797.8718,1
Random,0.5278,7,7,0.4091,0.5429,835.0131,0
Random,0.5556,11,8,0.3182,0.5714,861.0101,0
Random,0.5278,7,7,0.3182,0.5143,881.8913,0
Random,0.5556,8,5,0.4091,0.5714,829.8166,0
Random,0.5000,8,8,0.3182,0.5143,925.8149,0
Random,0.5556,10,9,0.3182,0.5429,918.5669,0
Random,0.6111,10,7,0.3636,0.6000,835.0500,0
Random,0.6111,12,8,0.3636,0.6286,804.0379,1
Random,0.6111,8,7,0.5455,0.6000,885.9251,0
Random,0.5000,7,6,0.2727,0.5143,874.3856,0
Random,0.5278,8,8,0.3636,0.5143,844.0783,0
Random,0.5000,7,8,0.2727,0.4857,872.4706,0
Random,0.5000,4,7,0.1818,0.4857,903.5380,0
Random,0.5833,8,7,0.2727,0.5714,851.0359,0
Random,0.5000,6,6,0.3182,0.5143,924.5937,0
Random,0.6111,9,8,0.4091,0.6000,831.9206,0
Random,0.5000,3,5,0.3182,0.4857,837.7614,0
Random,0.6111,9,7,0.4545,0.6000,837.6290,0
Random,0.5556,4,8,0.3182,0.5714,878.7518,0
Random,0.5556,7,7,0.3182,0.5714,819.5792,0
Random,0.5278,3,7,0.2273,0.5143,853.8213,0
Random,0.5278,8,6,0.4091,0.5429,810.5735,0
Random,0.6389,10,7,0.3182,0.6286,797.4513,1
Random,0.5278,6,7,0.2727,0.5429,845.2056,0
Random,0.5278,6,6,0.1818,0.5143,853.6062,0
Random,0.5000,7,6,0.4091,0.5143,821.7963,0
Random,0.7222,11,8,0.4091,0.7143,797.4513,1
Random,0.5556,7,6,0.2727,0.5714,844.9767,0
Random,0.5278,6,6,0.2727,0.5143,797.8718,1
Random,0.6111,7,7,0.2727,0.6286,820.7058,0
Random,0.5556,9,8,0.3636,0.5429,797.8718,1
Random,0.5000,3,6,0.2727,0.4857,836.8092,0
Random,0.6389,9,8,0.3182,0.6571,820.4407,0
Random,0.5556,7,8,0.4545,0.5714,797.8718,1
Random,0.5000,8,8,0.2727,0.4857,838.2086,0
Random,0.5833,9,8,0.4091,0.5714,848.6580,0
Random,0.5278,6,8,0.3636,0.5143,825.1620,0
Random,0.5278,7,7,0.3182,0.5143,835.7890,0
Random,0.5278,9,8,0.5000,0.5429,921.7012,0
Random,0.5556,6,7,0.1818,0.5714,853.6062,0
Random,0.6111,11,7,0.4091,0.6286,833.9783,0
Random,0.5278,7,7,0.3182,0.5143,885.5688,0
Random,0.5556,7,7,0.3636,0.5714,810.5735,0
Random,0.6111,8,9,0.4091,0.6000,827.3525,0
Random,0.5000,7,6,0.3182,0.5143,830.9623,0
Random,0.5278,7,6,0.2727,0.5143,852.4591,0
Random,0.5000,4,7,0.2273,0.4857,819.6861,0
Random,0.5278,5,7,0.2273,0.5143,828.7001,0
Random,0.5000,5,7,0.3182,0.5143,798.9434,1
Random,0.5556,10,7,0.3636,0.5714,858.1475,0
Random,0.5278,6,7,0.2727,0.5429,863.6449,0
Random,0.5556,6,5,0.3636,0.5714,856.6744,0
Random,0.5556,6,9,0.2273,0.5429,871.7880,0
Random,0.6389,8,6,0.4091,0.6286,797.8718,1
Random,0.5278,6,7,0.2727,0.5143,818.2207,0
Random,0.6111,7,8,0.4091,0.6286,811.3205,0
Random,0.6667,10,7,0.4545,0.6857,903.2710,0
Random,0.5278,5,6,0.2727,0.5143,828.7001,0
Random,0.6111,7,8,0.3636,0.6286,797.4513,1
Random,0.6111,10,8,0.3636,0.6000,863.3522,0
Random,0.5278,4,7,0.4091,0.5429,810.5735,0
Random,0.6111,8,8,0.4545,0.6000,818.2542,0
Random,0.5000,6,6,0.2727,0.4857,863.5111,0
Random,0.5278,8,8,0.2727,0.5429,810.5735,0
Random,0.5000,2,7,0.2273,0.4857,797.4513,1
Random,0.7500,9,8,0.4545,0.7429,888.0352,0
Random,0.6944,10,7,0.4091,0.6857,820.4407,0
Random,0.5000,6,6,0.3636,0.5143,844.5600,0
Random,0.5556,7,7,0.3636,0.5714,821.7963,0
Random,0.5556,8,7,0.2273,0.5429,801.8739,1
Random,0.6389,11,7,0.4545,0.6571,820.8613,0
Random,0.6111,7,7,0.2727,0.6000,817.9923,0
Random,0.5278,6,8,0.3636,0.5143,883.6060,0
