solver,basin_hash,distance,edges,triplets
Random,6503407214832412988,865.8693,1-22|22-32|20-32|18-20|3-18|3-4|4-24|1-24|1-13|2-13|2-8|8-17|17-31|1-31|1-16|16-23|10-23|10-12|5-12|5-29|9-29|9-19|15-19|1-15|1-27|14-27|7-14|7-30|11-30|11-26|6-26|6-21|1-21|1-25|25-28|1-28,1-22-32|20-32-22|18-20-32|3-18-20|4-3-18|3-4-24|1-24-4|1-13-2|8-2-13|2-8-17|8-17-31|1-31-17|1-16-23|10-23-16|12-10-23|5-12-10|12-5-29|5-29-9|19-9-29|9-19-15|1-15-19|1-27-14|7-14-27|14-7-30|7-30-11|26-11-30|6-26-11|21-6-26|1-21-6|1-25-28|1-28-25
Random,5174018745132842368,847.4584,1-27|4-27|3-4|3-18|18-20|20-32|22-32|1-22|1-25|15-25|8-15|8-14|2-14|2-13|1-13|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-28|19-28|9-19|9-12|5-12|5-29|24-29|7-24|1-7|1-17|17-31|1-31,1-27-4|3-4-27|4-3-18|3-18-20|18-20-32|20-32-22|1-22-32|1-25-15|8-15-25|14-8-15|2-14-8|13-2-14|1-13-2|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-28-19|9-19-28|12-9-19|5-12-9|12-5-29|5-29-24|7-24-29|1-7-24|1-17-31|1-31-17
Random,5079833849174318610,902.4004,1-31|25-31|25-29|9-29|9-10|10-23|21-23|1-21|1-17|17-22|22-32|20-32|18-20|14-18|14-27|1-27|1-15|15-19|12-19|5-12|5-24|3-24|3-4|4-7|7-8|1-8|1-28|28-30|16-30|11-16|11-26|6-26|1-6|1-13|2-13|1-2,1-31-25|29-25-31|9-29-25|10-9-29|9-10-23|10-23-21|1-21-23|1-17-22|17-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-15-19|12-19-15|5-12-19|12-5-24|3-24-5|4-3-24|3-4-7|4-7-8|1-8-7|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|1-6-26|1-13-2|1-2-13
Random,2209411095932931663,864.5435,1-15|15-29|5-29|5-12|9-12|9-19|10-19|10-23|23-30|6-30|6-21|1-21|1-25|25-28|16-28|11-16|11-26|1-26|1-13|2-13|2-22|14-22|8-14|8-27|27-31|1-31|1-7|7-24|4-24|3-4|3-18|18-20|20-32|1-32|1-17|1-17,1-15-29|5-29-15|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|10-23-30|6-30-23|21-6-30|1-21-6|1-25-28|16-28-25|11-16-28|16-11-26|1-26-11|1-13-2|13-2-22|2-22-14|8-14-22|14-8-27|8-27-31|1-31-27|1-7-24|4-24-7|3-4-24|4-3-18|3-18-20|18-20-32|1-32-20|1-17-1
Random,9351165850266299379,875.6223,1-6|6-26|11-26|11-16|16-23|23-24|3-24|3-4|1-4|1-25|15-25|15-19|9-19|9-29|5-29|5-12|10-12|10-30|1-30|1-27|14-27|14-22|22-32|20-32|18-20|7-18|1-7|1-31|17-31|8-17|2-8|2-13|1-13|1-28|21-28|1-21,1-6-26|6-26-11|16-11-26|11-16-23|16-23-24|3-24-23|4-3-24|1-4-3|1-25-15|19-15-25|9-19-15|19-9-29|5-29-9|12-5-29|5-12-10|12-10-30|1-30-10|1-27-14|22-14-27|14-22-32|20-32-22|18-20-32|7-18-20|1-7-18|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-28-21|1-21-28
Random,13637621879736413087,935.4915,1-27|8-27|8-14|14-22|2-22|2-13|1-13|1-28|19-28|9-19|9-12|5-12|5-29|24-29|1-24|1-26|11-26|11-16|10-16|10-23|23-30|6-30|6-21|1-21|1-17|3-17|3-4|4-7|7-15|15-25|1-25|1-18|18-20|20-32|31-32|1-31,1-27-8|14-8-27|8-14-22|2-22-14|13-2-22|1-13-2|1-28-19|9-19-28|12-9-19|5-12-9|12-5-29|5-29-24|1-24-29|1-26-11|16-11-26|10-16-11|16-10-23|10-23-30|6-30-23|21-6-30|1-21-6|1-17-3|4-3-17|3-4-7|4-7-15|7-15-25|1-25-15|1-18-20|18-20-32|20-32-31|1-31-32
Random,7677580007646220022,845.0159,1-7|7-24|24-29|5-29|5-12|9-12|9-10|10-23|23-30|1-30|1-21|6-21|6-26|11-26|11-16|16-19|4-19|3-4|3-27|1-27|1-31|17-31|8-17|8-15|15-25|25-28|1-28|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-13|1-13,1-7-24|7-24-29|5-29-24|12-5-29|5-12-9|10-9-12|9-10-23|10-23-30|1-30-23|1-21-6|21-6-26|6-26-11|16-11-26|11-16-19|4-19-16|3-4-19|4-3-27|1-27-3|1-31-17|8-17-31|15-8-17|8-15-25|15-25-28|1-28-25|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-13-1
Random,7203913963964092224,876.7407,1-13|13-22|22-32|20-32|14-20|8-14|8-27|1-27|1-30|23-30|10-23|10-16|11-16|11-26|6-26|6-21|1-21|1-7|7-29|5-29|5-12|9-12|9-19|15-19|15-25|1-25|1-2|2-18|3-18|3-4|4-24|24-28|1-28|1-31|17-31|1-17,1-13-22|13-22-32|20-32-22|14-20-32|8-14-20|14-8-27|1-27-8|1-30-23|10-23-30|16-10-23|10-16-11|16-11-26|6-26-11|21-6-26|1-21-6|1-7-29|5-29-7|12-5-29|5-12-9|12-9-19|9-19-15|19-15-25|1-25-15|1-2-18|2-18-3|4-3-18|3-4-24|4-24-28|1-28-24|1-31-17|1-17-31
Random,10545419239569612193,873.8359,1-21|21-26|16-26|16-30|28-30|25-28|1-25|1-7|7-24|4-24|3-4|3-18|18-20|20-32|1-32|1-6|6-11|11-23|10-23|10-12|5-12|5-29|9-29|9-19|15-19|1-15|1-13|2-13|2-22|14-22|8-14|8-27|1-27|1-17|17-31|1-31,1-21-26|16-26-21|26-16-30|16-30-28|25-28-30|1-25-28|1-7-24|4-24-7|3-4-24|4-3-18|3-18-20|18-20-32|1-32-20|1-6-11|6-11-23|10-23-11|12-10-23|5-12-10|12-5-29|5-29-9|19-9-29|9-19-15|1-15-19|1-13-2|13-2-22|2-22-14|8-14-22|14-8-27|1-27-8|1-17-31|1-31-17
Random,1766122196068631919,874.7226,1-27|8-27|2-8|2-13|13-17|17-31|1-31|1-14|14-22|4-22|4-24|24-29|5-29|5-12|9-12|9-19|19-30|1-30|1-15|15-23|10-23|10-16|11-16|11-26|6-26|6-21|1-21|1-32|20-32|18-20|3-18|3-7|1-7|1-25|25-28|1-28,1-27-8|2-8-27|8-2-13|2-13-17|13-17-31|1-31-17|1-14-22|4-22-14|22-4-24|4-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-30|1-30-19|1-15-23|10-23-15|16-10-23|10-16-11|16-11-26|6-26-11|21-6-26|1-21-6|1-32-20|18-20-32|3-18-20|7-3-18|1-7-3|1-25-28|1-28-25
Random,6307814058645704904,810.5735,1-7|4-7|3-4|3-24|5-24|5-12|12-29|15-29|1-15|1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-22|22-32|20-32|18-20|14-18|8-14|1-8|1-31|13-31|2-13|2-17|17-27|25-27|1-25|1-28|1-28,1-7-4|3-4-7|4-3-24|3-24-5|12-5-24|5-12-29|12-29-15|1-15-29|1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|1-8-14|1-31-13|2-13-31|13-2-17|2-17-27|17-27-25|1-25-27|1-28-1
Random,1977874865480659374,892.1917,1-27|20-27|18-20|3-18|3-4|4-24|7-24|7-15|1-15|1-31|17-31|8-17|2-8|2-13|1-13|1-29|5-29|5-12|9-12|9-19|10-19|10-23|16-23|16-30|1-30|1-21|6-21|6-26|11-26|11-28|25-28|1-25|1-22|22-32|14-32|1-14,1-27-20|18-20-27|3-18-20|4-3-18|3-4-24|4-24-7|15-7-24|1-15-7|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-29-5|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|10-23-16|23-16-30|1-30-16|1-21-6|21-6-26|6-26-11|26-11-28|11-28-25|1-25-28|1-22-32|14-32-22|1-14-32
Random,13954266821166269203,862.5376,1-21|6-21|6-26|11-26|11-16|16-30|28-30|1-28|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-15|15-29|12-29|5-12|5-24|3-24|3-4|4-7|7-27|1-27|1-31|17-31|8-17|8-19|9-19|9-10|10-23|23-25|1-25|1-13|1-13,1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|16-30-28|1-28-30|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-15-29|12-29-15|5-12-29|12-5-24|3-24-5|4-3-24|3-4-7|4-7-27|1-27-7|1-31-17|8-17-31|17-8-19|8-19-9|10-9-19|9-10-23|10-23-25|1-25-23|1-13-1
Random,6507449317611381084,832.5237,1-22|22-32|20-32|18-20|14-18|8-14|8-27|1-27|1-25|25-30|16-30|11-16|11-26|6-26|6-21|1-21|1-28|23-28|10-23|10-19|9-19|9-12|5-12|5-29|15-29|1-15|1-7|7-24|4-24|3-4|2-3|2-13|1-13|1-31|17-31|1-17,1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|14-8-27|1-27-8|1-25-30|16-30-25|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-28-23|10-23-28|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-15|1-15-29|1-7-24|4-24-7|3-4-24|2-3-4|3-2-13|1-13-2|1-31-17|1-17-31
Random,6847279809293415633,906.7799,1-7|4-7|3-4|3-24|24-29|9-29|9-10|10-23|1-23|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-13|2-13|2-22|22-32|14-32|8-14|8-27|1-27|1-17|17-20|18-20|5-18|5-12|12-19|15-19|1-15|1-25|25-31|1-31,1-7-4|3-4-7|4-3-24|3-24-29|9-29-24|10-9-29|9-10-23|1-23-10|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-13-2|13-2-22|2-22-32|14-32-22|8-14-32|14-8-27|1-27-8|1-17-20|17-20-18|5-18-20|12-5-18|5-12-19|12-19-15|1-15-19|1-25-31|1-31-25
Random,13169813689623391380,895.0269,1-13|2-13|2-14|8-14|8-17|1-17|1-7|4-7|4-18|18-20|20-32|22-32|22-27|27-31|1-31|1-15|15-29|5-29|5-12|10-12|10-23|16-23|16-30|1-30|1-3|3-24|9-24|9-19|11-19|11-26|6-26|6-21|1-21|1-28|25-28|1-25,1-13-2|13-2-14|2-14-8|14-8-17|1-17-8|1-7-4|7-4-18|4-18-20|18-20-32|20-32-22|27-22-32|22-27-31|1-31-27|1-15-29|5-29-15|12-5-29|5-12-10|12-10-23|10-23-16|23-16-30|1-30-16|1-3-24|3-24-9|19-9-24|9-19-11|19-11-26|6-26-11|21-6-26|1-21-6|1-28-25|1-25-28
Random,11416152471147755560,851.6473,1-25|25-29|5-29|5-12|9-12|9-19|19-28|1-28|1-15|15-30|23-30|10-23|10-16|11-16|11-26|6-26|6-21|1-21|1-7|7-24|4-24|3-4|3-14|8-14|8-17|1-17|1-31|2-31|2-22|22-32|20-32|18-20|18-27|1-27|1-13|1-13,1-25-29|5-29-25|12-5-29|5-12-9|12-9-19|9-19-28|1-28-19|1-15-30|15-30-23|10-23-30|16-10-23|10-16-11|16-11-26|6-26-11|21-6-26|1-21-6|1-7-24|4-24-7|3-4-24|4-3-14|3-14-8|14-8-17|1-17-8|1-31-2|22-2-31|2-22-32|20-32-22|18-20-32|20-18-27|1-27-18|1-13-1
Random,7628806748689189471,855.4901,1-23|10-23|10-19|9-19|9-12|5-12|5-29|24-29|7-24|1-7|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-25|15-25|14-15|2-14|2-13|13-31|1-31|1-22|22-32|20-32|18-20|3-18|3-4|1-4|1-17|8-17|8-27|1-27,1-23-10|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-24|7-24-29|1-7-24|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-25-15|14-15-25|2-14-15|13-2-14|2-13-31|1-31-13|1-22-32|20-32-22|18-20-32|3-18-20|4-3-18|1-4-3|1-17-8|17-8-27|1-27-8
Random,14417639516161122133,877.5141,1-15|15-19|9-19|9-12|5-12|5-29|24-29|3-24|3-4|1-4|1-25|7-25|7-10|10-23|16-23|16-30|28-30|1-28|1-22|22-32|20-32|18-20|14-18|14-27|1-27|1-13|2-13|2-8|8-17|17-31|1-31|1-26|11-26|6-11|6-21|1-21,1-15-19|9-19-15|12-9-19|5-12-9|12-5-29|5-29-24|3-24-29|4-3-24|1-4-3|1-25-7|10-7-25|7-10-23|10-23-16|23-16-30|16-30-28|1-28-30|1-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-13-2|8-2-13|2-8-17|8-17-31|1-31-17|1-26-11|6-11-26|11-6-21|1-21-6
Random,847697685391841675,846.8109,1-15|7-15|7-24|4-24|3-4|2-3|2-13|1-13|1-22|22-32|20-32|18-20|14-18|8-14|8-27|1-27|1-25|25-29|5-29|5-12|9-12|9-19|19-28|1-28|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-17|17-31|1-31,1-15-7|15-7-24|4-24-7|3-4-24|2-3-4|3-2-13|1-13-2|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|14-8-27|1-27-8|1-25-29|5-29-25|12-5-29|5-12-9|12-9-19|9-19-28|1-28-19|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-17-31|1-31-17
Random,5816181029862557719,851.2152,1-7|3-7|3-18|18-20|20-32|22-32|1-22|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-28|19-28|9-19|9-12|5-12|5-29|24-29|4-24|4-27|1-27|1-25|15-25|8-15|8-14|2-14|2-13|1-13|1-17|17-31|1-31,1-7-3|7-3-18|3-18-20|18-20-32|20-32-22|1-22-32|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-28-19|9-19-28|12-9-19|5-12-9|12-5-29|5-29-24|4-24-29|24-4-27|1-27-4|1-25-15|8-15-25|14-8-15|2-14-8|13-2-14|1-13-2|1-17-31|1-31-17
Random,6741231767646919406,957.4557,1-27|18-27|18-20|20-32|2-32|2-13|1-13|1-17|17-24|24-29|5-29|5-12|9-12|9-19|15-19|1-15|1-28|28-30|11-30|11-16|10-16|10-23|23-25|1-25|1-31|8-31|8-14|14-22|3-22|3-4|4-7|1-7|1-6|6-26|21-26|1-21,1-27-18|20-18-27|18-20-32|2-32-20|13-2-32|1-13-2|1-17-24|17-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-15|1-15-19|1-28-30|11-30-28|16-11-30|10-16-11|16-10-23|10-23-25|1-25-23|1-31-8|14-8-31|8-14-22|3-22-14|4-3-22|3-4-7|1-7-4|1-6-26|6-26-21|1-21-26
Random,128372221272861638,850.7460,1-30|16-30|10-16|10-19|9-19|9-29|24-29|3-24|3-4|4-27|1-27|1-21|6-21|6-26|11-26|11-23|12-23|5-12|5-7|1-7|1-8|8-14|14-18|18-20|20-32|22-32|1-22|1-25|15-25|15-17|2-17|2-13|13-31|1-31|1-28|1-28,1-30-16|10-16-30|16-10-19|9-19-10|19-9-29|9-29-24|3-24-29|4-3-24|3-4-27|1-27-4|1-21-6|21-6-26|6-26-11|23-11-26|11-23-12|5-12-23|7-5-12|1-7-5|1-8-14|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-25-15|17-15-25|2-17-15|13-2-17|2-13-31|1-31-13|1-28-1
Random,17423462768124130392,880.0595,1-7|7-29|5-29|5-12|9-12|9-19|15-19|15-25|1-25|1-20|18-20|3-18|3-4|4-24|10-24|10-23|1-23|1-13|2-13|2-22|22-32|14-32|8-14|8-27|1-27|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-31|17-31|1-17,1-7-29|5-29-7|12-5-29|5-12-9|12-9-19|9-19-15|19-15-25|1-25-15|1-20-18|3-18-20|4-3-18|3-4-24|4-24-10|23-10-24|1-23-10|1-13-2|13-2-22|2-22-32|14-32-22|8-14-32|14-8-27|1-27-8|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-31-17|1-17-31
Random,5666613777802118071,914.6708,1-4|3-4|3-24|10-24|10-23|16-23|6-16|6-21|1-21|1-31|17-31|17-27|27-28|28-30|11-30|11-26|1-26|1-8|8-14|14-18|18-20|20-32|22-32|1-22|1-25|15-25|15-19|9-19|9-12|5-12|5-29|7-29|1-7|1-13|2-13|1-2,1-4-3|4-3-24|3-24-10|23-10-24|10-23-16|6-16-23|16-6-21|1-21-6|1-31-17|27-17-31|17-27-28|27-28-30|11-30-28|26-11-30|1-26-11|1-8-14|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-25-15|19-15-25|9-19-15|12-9-19|5-12-9|12-5-29|5-29-7|1-7-29|1-13-2|1-2-13
Random,11822502793862493166,888.2390,1-27|14-27|14-18|18-20|20-32|22-32|1-22|1-25|15-25|15-16|11-16|11-26|6-26|1-6|1-31|17-31|8-17|2-8|2-13|1-13|1-28|19-28|9-19|5-9|5-12|10-12|10-23|23-30|21-30|1-21|1-29|24-29|3-24|3-4|4-7|1-7,1-27-14|18-14-27|14-18-20|18-20-32|20-32-22|1-22-32|1-25-15|16-15-25|11-16-15|16-11-26|6-26-11|1-6-26|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-28-19|9-19-28|5-9-19|9-5-12|5-12-10|12-10-23|10-23-30|21-30-23|1-21-30|1-29-24|3-24-29|4-3-24|3-4-7|1-7-4
Random,5733154945457004990,847.7913,1-7|4-7|3-4|3-24|9-24|9-19|10-19|10-16|16-30|1-30|1-21|6-21|6-26|11-26|11-23|12-23|5-12|5-29|1-29|1-22|22-32|20-32|18-20|14-18|8-14|1-8|1-28|25-28|15-25|15-27|17-27|17-31|1-31|1-13|2-13|1-2,1-7-4|3-4-7|4-3-24|3-24-9|19-9-24|9-19-10|16-10-19|10-16-30|1-30-16|1-21-6|21-6-26|6-26-11|23-11-26|11-23-12|5-12-23|12-5-29|1-29-5|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|1-8-14|1-28-25|15-25-28|25-15-27|15-27-17|27-17-31|1-31-17|1-13-2|1-2-13
Random,17756303985709779480,841.3481,1-21|21-30|19-30|9-19|9-12|5-12|5-29|24-29|3-24|3-4|1-4|1-6|6-26|11-26|11-16|10-16|10-23|15-23|1-15|1-28|25-28|8-25|2-8|2-13|1-13|1-27|14-27|14-22|22-32|20-32|18-20|7-18|1-7|1-31|17-31|1-17,1-21-30|19-30-21|9-19-30|12-9-19|5-12-9|12-5-29|5-29-24|3-24-29|4-3-24|1-4-3|1-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-15|1-15-23|1-28-25|8-25-28|2-8-25|8-2-13|1-13-2|1-27-14|22-14-27|14-22-32|20-32-22|18-20-32|7-18-20|1-7-18|1-31-17|1-17-31
Random,8478518385070731678,843.4337,1-16|16-23|10-23|10-12|5-12|5-29|9-29|9-19|15-19|1-15|1-25|25-28|28-30|11-30|11-26|6-26|6-21|1-21|1-7|7-24|4-24|3-4|3-18|18-20|20-32|1-32|1-27|8-27|8-14|14-22|2-22|2-13|1-13|1-17|17-31|1-31,1-16-23|10-23-16|12-10-23|5-12-10|12-5-29|5-29-9|19-9-29|9-19-15|1-15-19|1-25-28|25-28-30|11-30-28|26-11-30|6-26-11|21-6-26|1-21-6|1-7-24|4-24-7|3-4-24|4-3-18|3-18-20|18-20-32|1-32-20|1-27-8|14-8-27|8-14-22|2-22-14|13-2-22|1-13-2|1-17-31|1-31-17
Random,6507449317611381084,833.8313,1-28|23-28|10-23|10-19|9-19|9-12|5-12|5-29|15-29|1-15|1-25|25-30|16-30|11-16|11-26|6-26|6-21|1-21|1-7|7-24|4-24|3-4|2-3|2-13|1-13|1-8|8-14|14-18|18-20|20-32|22-32|22-27|1-27|1-31|17-31|1-17,1-28-23|10-23-28|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-15|1-15-29|1-25-30|16-30-25|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-7-24|4-24-7|3-4-24|2-3-4|3-2-13|1-13-2|1-8-14|8-14-18|14-18-20|18-20-32|20-32-22|27-22-32|1-27-22|1-31-17|1-17-31
Random,11824326250485796480,803.3936,1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-7|4-7|3-4|3-24|5-24|5-12|12-29|15-29|1-15|1-31|17-31|8-17|2-8|2-13|1-13|1-14|14-18|18-20|20-32|22-32|22-27|1-27|1-25|25-28|1-28,1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-7-4|3-4-7|4-3-24|3-24-5|12-5-24|5-12-29|12-29-15|1-15-29|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-14-18|14-18-20|18-20-32|20-32-22|27-22-32|1-27-22|1-25-28|1-28-25
Random,16691534394590154745,847.6899,1-21|6-21|6-26|11-26|11-28|25-28|1-25|1-29|5-29|5-12|9-12|9-19|10-19|10-23|16-23|16-30|1-30|1-17|17-22|22-32|20-32|18-20|14-18|14-27|1-27|1-31|2-31|2-8|3-8|3-4|4-24|7-24|7-15|1-15|1-13|1-13,1-21-6|21-6-26|6-26-11|26-11-28|11-28-25|1-25-28|1-29-5|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|10-23-16|23-16-30|1-30-16|1-17-22|17-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-31-2|8-2-31|2-8-3|4-3-8|3-4-24|4-24-7|15-7-24|1-15-7|1-13-1
Random,14197392370704394957,857.4290,1-15|9-15|9-12|5-12|5-29|24-29|3-24|3-4|4-27|1-27|1-21|6-21|6-26|11-26|11-16|16-30|28-30|1-28|1-25|23-25|10-23|10-19|7-19|7-8|8-17|1-17|1-14|14-18|18-20|20-32|22-32|2-22|1-2|1-31|13-31|1-13,1-15-9|12-9-15|5-12-9|12-5-29|5-29-24|3-24-29|4-3-24|3-4-27|1-27-4|1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|16-30-28|1-28-30|1-25-23|10-23-25|19-10-23|7-19-10|8-7-19|7-8-17|1-17-8|1-14-18|14-18-20|18-20-32|20-32-22|2-22-32|1-2-22|1-31-13|1-13-31
Random,8551220820143723898,840.7669,1-27|4-27|3-4|3-18|18-20|20-32|22-32|1-22|1-21|6-21|6-26|11-26|11-16|16-30|15-30|15-31|1-31|1-13|2-13|2-14|8-14|8-17|1-17|1-7|7-24|24-29|5-29|5-12|9-12|9-19|10-19|10-23|1-23|1-25|25-28|1-28,1-27-4|3-4-27|4-3-18|3-18-20|18-20-32|20-32-22|1-22-32|1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|15-30-16|30-15-31|1-31-15|1-13-2|13-2-14|2-14-8|14-8-17|1-17-8|1-7-24|7-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|1-23-10|1-25-28|1-28-25
Random,17230955033275084545,921.5652,1-28|6-28|6-11|11-30|19-30|9-19|9-29|24-29|3-24|3-4|4-15|1-15|1-31|27-31|17-27|8-17|2-8|2-13|1-13|1-7|7-18|18-20|20-32|22-32|14-22|1-14|1-5|5-12|10-12|10-23|16-23|16-26|1-26|1-21|21-25|1-25,1-28-6|11-6-28|6-11-30|11-30-19|9-19-30|19-9-29|9-29-24|3-24-29|4-3-24|3-4-15|1-15-4|1-31-27|17-27-31|8-17-27|2-8-17|8-2-13|1-13-2|1-7-18|7-18-20|18-20-32|20-32-22|14-22-32|1-14-22|1-5-12|5-12-10|12-10-23|10-23-16|23-16-26|1-26-16|1-21-25|1-25-21
Random,10301435440714849646,835.5793,1-27|7-27|7-24|4-24|3-4|3-14|8-14|8-17|1-17|1-28|23-28|10-23|10-19|9-19|9-12|5-12|5-29|15-29|1-15|1-31|18-31|18-20|20-32|22-32|2-22|1-2|1-25|25-30|16-30|11-16|11-26|6-26|6-21|1-21|1-13|1-13,1-27-7|24-7-27|4-24-7|3-4-24|4-3-14|3-14-8|14-8-17|1-17-8|1-28-23|10-23-28|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-15|1-15-29|1-31-18|20-18-31|18-20-32|20-32-22|2-22-32|1-2-22|1-25-30|16-30-25|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-13-1
Random,18306868269037644911,963.5525,1-27|4-27|3-4|3-18|18-20|20-32|22-32|1-22|1-13|2-13|2-14|8-14|8-17|1-17|1-31|25-31|25-28|11-28|11-26|6-26|1-6|1-29|5-29|5-12|10-12|10-23|16-23|16-30|21-30|1-21|1-7|7-24|9-24|9-19|15-19|1-15,1-27-4|3-4-27|4-3-18|3-18-20|18-20-32|20-32-22|1-22-32|1-13-2|13-2-14|2-14-8|14-8-17|1-17-8|1-31-25|28-25-31|11-28-25|26-11-28|6-26-11|1-6-26|1-29-5|12-5-29|5-12-10|12-10-23|10-23-16|23-16-30|16-30-21|1-21-30|1-7-24|7-24-9|19-9-24|9-19-15|1-15-19
Random,5534296427288990584,874.3966,1-13|13-22|22-32|3-32|3-4|4-15|15-25|1-25|1-2|2-20|18-20|14-18|8-14|8-27|1-27|1-7|7-24|24-29|5-29|5-12|9-12|9-19|19-28|1-28|1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-31|17-31|1-17,1-13-22|13-22-32|3-32-22|4-3-32|3-4-15|4-15-25|1-25-15|1-2-20|2-20-18|14-18-20|8-14-18|14-8-27|1-27-8|1-7-24|7-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-28|1-28-19|1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-31-17|1-17-31
Random,14351870524596083993,813.0478,1-15|15-29|12-29|5-12|5-24|3-24|3-4|4-7|7-27|1-27|1-19|9-19|9-10|10-23|16-23|16-30|11-30|11-26|6-26|6-21|1-21|1-25|17-25|2-17|2-13|13-31|1-31|1-8|8-14|14-18|18-20|20-32|22-32|1-22|1-28|1-28,1-15-29|12-29-15|5-12-29|12-5-24|3-24-5|4-3-24|3-4-7|4-7-27|1-27-7|1-19-9|10-9-19|9-10-23|10-23-16|23-16-30|11-30-16|26-11-30|6-26-11|21-6-26|1-21-6|1-25-17|2-17-25|13-2-17|2-13-31|1-31-13|1-8-14|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-28-1
Random,6307814058645704904,810.5735,1-7|4-7|3-4|3-24|5-24|5-12|12-29|15-29|1-15|1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-31|13-31|2-13|2-17|17-27|25-27|1-25|1-8|8-14|14-18|18-20|20-32|22-32|1-22|1-28|1-28,1-7-4|3-4-7|4-3-24|3-24-5|12-5-24|5-12-29|12-29-15|1-15-29|1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-31-13|2-13-31|13-2-17|2-17-27|17-27-25|1-25-27|1-8-14|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-28-1
